bib_file, date_first_add
wansink2006ice.bib,2019-06-04
Aiello2019.bib,2019-06-04
Abbar_2015.bib,2019-06-16
mejova2015foodporn.bib,2019-06-16
chang2005income.bib,2019-06-16
trattner2017investigating.bib,2019-06-16
silva2014eat.bib,2019-06-16
turnbaugh2006obesity.bib,2019-06-16
NEJMsa066082.bib,2019-06-16
weber2016crowdsourcing.bib,2019-06-16
ventura2014neurobiologic.bib,2019-06-16
zhu2013geography.bib,2019-06-17
ge2015health.bib,2019-06-21
schoenfeld2012everything.bib,2019-06-25
zeevi2015personalized.bib,2019-06-28
elsweiler2017exploiting.bib,2019-07-29
sacks2009impact.bib,2019-08-01
Howard2012NutritionalCO.bib,2019-08-02
brown2016secular.bib,2019-09-16
aveyard2016screening.bib,2019-10-17
